Date,Open,High,Low,Close,Adj Close,Volume
2021-07-21,68.190002,68.699997,67.550003,68.699997,67.926872,875600
2021-07-22,69.199997,69.199997,68.320000,68.389999,67.620361,491000
2021-07-23,68.430000,68.989998,68.320000,68.629997,67.857658,614400
2021-07-26,68.000000,68.330002,67.650002,67.989998,67.224861,573500
2021-07-27,68.199997,68.919998,67.300003,67.889999,67.125992,410100
2021-07-28,67.250000,67.849998,67.010002,67.849998,67.086441,416200
2021-07-29,67.250000,67.250000,66.510002,66.559998,65.810951,487500
2021-07-30,64.500000,64.610001,64.010002,64.250000,63.526951,502300
2021-08-02,65.120003,65.489998,64.919998,65.089996,64.357498,364000
2021-08-03,64.459999,65.250000,64.459999,64.839996,64.110306,375700
2021-08-04,64.269997,64.400002,63.029999,63.810001,63.091908,374400
2021-08-05,63.599998,63.650002,61.660000,62.669998,61.964733,767500
2021-08-06,59.709999,60.099998,59.110001,59.119999,58.454681,1282500
2021-08-09,59.540001,59.540001,58.919998,59.130001,58.464573,487400
2021-08-10,57.500000,57.500000,56.720001,56.849998,56.210228,1051200
2021-08-11,59.099998,59.799999,58.939999,59.189999,58.523895,646500
2021-08-12,58.900002,59.500000,58.549999,59.000000,58.336033,727400
2021-08-13,59.099998,59.840000,59.099998,59.430000,58.761196,451500
2021-08-16,59.220001,59.389999,58.849998,59.349998,58.682095,971900
2021-08-17,59.520000,59.520000,58.790001,59.169998,58.504120,557100
2021-08-18,60.150002,60.150002,59.020000,59.029999,58.365696,451100
2021-08-19,57.830002,59.220001,57.830002,59.049999,58.385471,371700
2021-08-20,60.099998,60.380001,59.669998,60.380001,59.700504,552100
2021-08-23,60.020000,60.500000,59.799999,60.349998,59.670841,513500
2021-08-24,60.900002,60.900002,60.500000,60.520000,59.838928,366200
2021-08-25,60.389999,60.389999,59.770000,60.220001,59.542305,364100
2021-08-26,59.650002,59.750000,59.250000,59.279999,58.612881,252800
2021-08-27,59.590000,59.590000,58.400002,58.950001,58.286598,675100
2021-08-30,59.009998,59.950001,59.009998,59.549999,58.879845,267700
2021-08-31,59.759998,60.410000,59.759998,60.080002,59.403881,484800
2021-09-01,60.540001,61.720001,60.540001,61.110001,60.422291,711600
2021-09-02,61.950001,62.779999,61.820000,61.939999,61.242947,538200
2021-09-03,62.470001,62.480000,61.200001,61.900002,61.203400,676100
2021-09-07,63.419998,63.750000,62.599998,63.000000,62.291019,457600
2021-09-08,62.490002,62.490002,61.549999,61.549999,60.857338,417000
2021-09-09,61.299999,62.290001,61.299999,61.549999,60.857338,667500
2021-09-10,63.000000,63.380001,62.000000,62.169998,61.470360,492400
